+-----------------------------+------+------------------------------------------------------------------------------------+------------------------------------+-----------------+---------------+
| Department                  | Year | Insurance Carrier                                                                  | Cases covered by carrier this year | Total base cost | Total revenue |
| Anesthesiology              | 2026 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          420.00 |        966.00 |
| Anesthesiology              | 2026 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          755.00 |        755.00 |
| Cardiology                  | 2020 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          652.00 |       1304.00 |
| Cardiology                  | 2021 | Ανασφάλιστος                                                                       |                                  1 |         1660.00 |       1660.00 |
| Cardiology                  | 2021 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1218.00 |     214368.00 |
| Cardiology                  | 2021 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          444.00 |       1243.20 |
| Cardiology                  | 2021 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         1144.00 |     219076.00 |
| Cardiology                  | 2021 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          652.00 |     105689.20 |
| Cardiology                  | 2022 | Ανασφάλιστος                                                                       |                                  1 |         1323.00 |     207843.30 |
| Cardiology                  | 2022 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          231.00 |      35435.40 |
| Cardiology                  | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1183.00 |     158758.60 |
| Cardiology                  | 2022 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1907.00 |     259924.10 |
| Cardiology                  | 2022 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         5777.00 |     880992.50 |
| Cardiology                  | 2023 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         2521.00 |      11596.60 |
| Cardiology                  | 2023 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          946.00 |       5581.40 |
| Cardiology                  | 2023 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1338.00 |     120152.40 |
| Cardiology                  | 2024 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1105.00 |      11050.00 |
| Cardiology                  | 2024 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         2140.00 |      15408.00 |
| Cardiology                  | 2024 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         6489.00 |      35689.50 |
| Cardiology                  | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         1517.00 |      19569.30 |
| Cardiology                  | 2026 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          584.00 |        584.00 |
| Cardiology                  | 2026 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |          946.00 |       5959.80 |
| Casualty                    | 2020 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          290.00 |       1856.00 |
| Casualty                    | 2020 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         1821.00 |     371484.00 |
| Casualty                    | 2021 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         2381.00 |     456437.70 |
| Casualty                    | 2021 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1082.00 |     181776.00 |
| Casualty                    | 2021 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         9147.00 |      70431.90 |
| Casualty                    | 2022 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  2 |         7564.00 |     952705.20 |
| Casualty                    | 2022 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |          879.00 |       7735.20 |
| Casualty                    | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         2386.00 |     365058.00 |
| Casualty                    | 2022 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          475.00 |        475.00 |
| Casualty                    | 2023 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  2 |         1938.00 |      70670.60 |
| Casualty                    | 2023 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         2423.00 |      24956.90 |
| Casualty                    | 2023 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          334.00 |      36005.20 |
| Casualty                    | 2024 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         2716.00 |       2716.00 |
| Casualty                    | 2024 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1144.00 |       9037.60 |
| Casualty                    | 2024 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |        12204.00 |      12204.00 |
| Casualty                    | 2024 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         5077.00 |      40108.30 |
| Casualty                    | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         9110.00 |     422704.00 |
| Casualty                    | 2025 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         7359.00 |      22077.00 |
| Casualty                    | 2025 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  2 |         4781.00 |     154064.40 |
| Casualty                    | 2026 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1222.00 |       1222.00 |
| Casualty                    | 2026 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         4177.00 |      25897.40 |
| Casualty                    | 2026 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         7182.00 |      59610.60 |
| Casualty                    | 2026 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          630.00 |       5481.00 |
| Casualty                    | 2026 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  2 |         2740.00 |      18091.90 |
| ENT                         | 2020 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1175.00 |      11515.00 |
| ENT                         | 2020 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1969.00 |       9254.30 |
| ENT                         | 2020 | Παπαδήμα-Κυριακίδης                                                                |                                  2 |         1432.00 |       3833.40 |
| ENT                         | 2020 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         3649.00 |     799860.80 |
| ENT                         | 2021 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         3329.00 |      10319.90 |
| ENT                         | 2021 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         3631.00 |     661931.30 |
| ENT                         | 2021 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          680.00 |       7004.00 |
| ENT                         | 2022 | Ανασφάλιστος                                                                       |                                  2 |         2685.00 |       8814.20 |
| ENT                         | 2022 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1813.00 |      10152.80 |
| ENT                         | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1980.00 |      18414.00 |
| ENT                         | 2022 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          272.00 |       1251.20 |
| ENT                         | 2023 | Ανασφάλιστος                                                                       |                                  2 |         2376.00 |      87957.10 |
| ENT                         | 2023 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1331.00 |       5723.30 |
| ENT                         | 2023 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          537.00 |      57942.30 |
| ENT                         | 2023 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         1191.00 |     145063.80 |
| ENT                         | 2024 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         2724.00 |       8989.20 |
| ENT                         | 2024 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1012.00 |      66690.80 |
| ENT                         | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         5302.00 |     220033.00 |
| ENT                         | 2025 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         1945.00 |       1945.00 |
| ENT                         | 2026 | Ανασφάλιστος                                                                       |                                  3 |         4041.00 |      21097.00 |
| Gastroenterology            | 2020 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          412.00 |       2018.80 |
| Gastroenterology            | 2020 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          910.00 |     206570.00 |
| Gastroenterology            | 2021 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |          330.00 |      62766.00 |
| Gastroenterology            | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |        26508.00 |     172302.00 |
| Gastroenterology            | 2023 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1245.00 |     118150.50 |
| Gastroenterology            | 2024 | Ανασφάλιστος                                                                       |                                  1 |         2856.00 |     160792.80 |
| Gastroenterology            | 2024 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          297.00 |      25304.40 |
| Gastroenterology            | 2024 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1043.00 |       1564.50 |
| Gastroenterology            | 2025 | Ανασφάλιστος                                                                       |                                  1 |         1136.00 |      10110.40 |
| Gastroenterology            | 2025 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |        20279.00 |      91255.50 |
| Gastroenterology            | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          350.00 |      17150.00 |
| Gastroenterology            | 2026 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1588.00 |      12862.80 |
| Gastroenterology            | 2026 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1294.00 |       9834.40 |
| Gastroenterology            | 2026 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          335.00 |       2378.50 |
| General surgery             | 2020 | Ανασφάλιστος                                                                       |                                  1 |          731.00 |     148393.00 |
| General surgery             | 2020 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1743.00 |     388514.70 |
| General surgery             | 2020 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         3649.00 |      31016.50 |
| General surgery             | 2020 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         5709.00 |    1161781.50 |
| General surgery             | 2021 | Βιολάτος-Φωκαδελής                                                                 |                                  2 |         2505.00 |      13885.30 |
| General surgery             | 2021 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         2514.00 |     418832.40 |
| General surgery             | 2021 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          946.00 |       1986.60 |
| General surgery             | 2021 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1564.00 |     287932.40 |
| General surgery             | 2022 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1541.00 |      13560.80 |
| General surgery             | 2022 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |          545.00 |       3651.50 |
| General surgery             | 2023 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1930.00 |      14475.00 |
| General surgery             | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  3 |         7546.00 |      59888.00 |
| General surgery             | 2025 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1644.00 |      43401.60 |
| General surgery             | 2026 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         2079.00 |      21205.80 |
| General surgery             | 2026 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  3 |         7899.00 |       9568.80 |
| General surgery             | 2026 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |          366.00 |        366.00 |
| General surgery             | 2026 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         8261.00 |      80957.80 |
| Geriatric                   | 2020 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         9783.00 |      11739.60 |
| Geriatric                   | 2020 | Παπαδήμα-Κυριακίδης                                                                |                                  2 |         4436.00 |      27006.60 |
| Geriatric                   | 2020 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |          983.00 |       1277.90 |
| Geriatric                   | 2020 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         2716.00 |     607569.20 |
| Geriatric                   | 2021 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          482.00 |       4193.40 |
| Geriatric                   | 2021 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         7182.00 |      44528.40 |
| Geriatric                   | 2021 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  2 |        38925.00 |    1000331.00 |
| Geriatric                   | 2021 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         7270.00 |      69792.00 |
| Geriatric                   | 2021 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1128.00 |       8798.40 |
| Geriatric                   | 2021 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         2381.00 |     387388.70 |
| Geriatric                   | 2022 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          288.00 |      38880.00 |
| Geriatric                   | 2022 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         3683.00 |       6997.70 |
| Geriatric                   | 2022 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         2648.00 |       5825.60 |
| Geriatric                   | 2022 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1395.00 |       6277.50 |
| Geriatric                   | 2023 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          327.00 |      32896.20 |
| Geriatric                   | 2023 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          514.00 |       2261.60 |
| Geriatric                   | 2023 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |          358.00 |       1503.60 |
| Geriatric                   | 2024 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         5111.00 |     271394.10 |
| Geriatric                   | 2024 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          265.00 |       1457.50 |
| Geriatric                   | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          428.00 |      15964.40 |
| Geriatric                   | 2025 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |          915.00 |      33123.00 |
| Geriatric                   | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  2 |         7905.00 |     147017.30 |
| Geriatric                   | 2026 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |        10017.00 |      35059.50 |
| Gynaecology                 | 2020 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  2 |         4007.00 |     485811.50 |
| Gynaecology                 | 2021 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  3 |         1751.00 |     195175.50 |
| Gynaecology                 | 2022 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         2669.00 |     419033.00 |
| Gynaecology                 | 2023 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1774.00 |     185028.20 |
| Gynaecology                 | 2023 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  2 |         3298.00 |      27206.40 |
| Gynaecology                 | 2024 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |        10706.00 |     696960.60 |
| Gynaecology                 | 2024 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          545.00 |       1635.00 |
| Gynaecology                 | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          716.00 |      17971.60 |
| Gynaecology                 | 2025 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         6097.00 |       6097.00 |
| Gynaecology                 | 2025 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         2062.00 |      17114.60 |
| Gynaecology                 | 2026 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         6101.00 |      24404.00 |
| Gynaecology                 | 2026 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |          771.00 |       1542.00 |
| Haematology                 | 2020 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1277.00 |     280940.00 |
| Haematology                 | 2021 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         1694.00 |     322198.80 |
| Haematology                 | 2021 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1218.00 |      11571.00 |
| Haematology                 | 2021 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  2 |         2840.00 |     132343.00 |
| Haematology                 | 2021 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1644.00 |       5589.60 |
| Haematology                 | 2022 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1765.00 |     273928.00 |
| Haematology                 | 2022 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1043.00 |       1460.20 |
| Haematology                 | 2022 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          638.00 |       5359.20 |
| Haematology                 | 2022 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         2599.00 |      10136.10 |
| Haematology                 | 2023 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         1323.00 |     134946.00 |
| Haematology                 | 2023 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1907.00 |     192034.90 |
| Haematology                 | 2024 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1525.00 |      83265.00 |
| Haematology                 | 2024 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1097.00 |       4826.80 |
| Haematology                 | 2024 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |        16846.00 |    1115205.20 |
| Haematology                 | 2024 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1885.00 |      97266.00 |
| Haematology                 | 2025 | Ανασφάλιστος                                                                       |                                  1 |          545.00 |       9864.50 |
| Haematology                 | 2025 | Βιολάτος-Φωκαδελής                                                                 |                                  2 |        12474.00 |      53196.60 |
| Haematology                 | 2025 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         1089.00 |       4029.30 |
| Haematology                 | 2025 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         1525.00 |      15402.50 |
| Haematology                 | 2026 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          787.00 |       3541.50 |
| Haematology                 | 2026 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |        10706.00 |      84577.40 |
| Haematology                 | 2026 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         5741.00 |      46502.10 |
| Haematology                 | 2026 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |          896.00 |        896.00 |
| Inpatient Department (IPD)  | 2020 | Ανασφάλιστος                                                                       |                                  1 |          288.00 |       1440.00 |
| Inpatient Department (IPD)  | 2020 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |          475.00 |      95665.00 |
| Inpatient Department (IPD)  | 2020 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |          965.00 |       7720.00 |
| Inpatient Department (IPD)  | 2020 | Κουτσοβίδου-Αθανασάκης Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                       |                                  1 |         1510.00 |       9815.00 |
| Inpatient Department (IPD)  | 2020 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         2312.00 |       6704.80 |
| Inpatient Department (IPD)  | 2020 | Σάουερ-Νούσης Ο.Ε.                                                                 |                                  1 |         1377.00 |       6196.50 |
| Inpatient Department (IPD)  | 2020 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         2109.00 |     469041.60 |
| Inpatient Department (IPD)  | 2021 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         6489.00 |    1086907.50 |
| Inpatient Department (IPD)  | 2021 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         2568.00 |       5906.40 |
| Inpatient Department (IPD)  | 2022 | Ανασφάλιστος                                                                       |                                  1 |         7753.00 |    1157522.90 |
| Inpatient Department (IPD)  | 2022 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         3391.00 |      30858.10 |
| Inpatient Department (IPD)  | 2022 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         2552.00 |     381268.80 |
| Inpatient Department (IPD)  | 2023 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  1 |         1807.00 |      17889.30 |
| Inpatient Department (IPD)  | 2023 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |         1619.00 |       7933.10 |
| Inpatient Department (IPD)  | 2023 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |          639.00 |       6709.50 |
| Inpatient Department (IPD)  | 2025 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         1175.00 |       4700.00 |
| Inpatient Department (IPD)  | 2025 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          506.00 |       2833.60 |
| Inpatient Department (IPD)  | 2025 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |         1556.00 |      22406.40 |
| Inpatient Department (IPD)  | 2026 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1938.00 |      18023.40 |
| Inpatient Department (IPD)  | 2026 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |         9147.00 |      50308.50 |
| Inpatient Department (IPD)  | 2026 | Πουλιάση Α.Ε. ΟΜΙΛΟΣ ΕΤΑΙΡΕΙΩΝ                                                     |                                  2 |         1169.00 |      12782.80 |
| Intensive care unit (ICU)   | 2020 | Αργυρής, Γραμματικόπουλος και Σμιτ                                                 |                                  1 |         2413.00 |       6997.70 |
| Intensive care unit (ICU)   | 2020 | Κοντογιάννης, Μαρκαντωνάκη και Ευκαρπίδης                                          |                                  1 |          902.00 |        992.20 |
| Intensive care unit (ICU)   | 2020 | Παπαδήμα-Κυριακίδης                                                                |                                  1 |         2140.00 |       2140.00 |
| Intensive care unit (ICU)   | 2020 | Σπασέγκου-Ευαγγελάκη Α.Β.Ε.Ε.                                                      |                                  1 |          545.00 |     115649.00 |
| Intensive care unit (ICU)   | 2020 | Τολούδης Α.Β.Ε.Ε.                                                                  |                                  1 |          545.00 |     116085.00 |
| Intensive care unit (ICU)   | 2021 | Βιολάτος-Φωκαδελής                                                                 |                                  1 |         1930.00 |       5983.00 |
