+------------+---------+------------+---------------------+---------------------+------------+------------------+
| AMKA       | hosp_id | cost       | admission_diagnosis | discharge_diagnosis | avg_rating | total_avg_rating |
| 0202508143 |     327 |   13560.80 | C95                 | P74.0               |       3.40 |             3.33 |
| 0202508143 |      95 |    2018.80 | C76.8               | S30.1               |       3.60 |             3.33 |
| 0202508143 |      26 |    2747.40 | C43.4               | S35                 |       3.00 |             3.33 |
| 0202508143 |     245 |  474440.40 | F53.9               | NULL                |       NULL |             3.33 |
| 0206251888 |     371 |   24404.00 | R04.9               | Q43.0               |       3.00 |             3.00 |
| 0206251888 |     204 |   57102.00 | Q63.3               | NULL                |       NULL |             3.00 |
| 0211900259 |      28 |    3055.50 | N28.8               | R43.2               |       3.20 |             3.20 |
| 0301764190 |     294 |   15408.00 | Q39.5               | T25.2               |       2.60 |             3.00 |
| 0301764190 |     175 |   35805.00 | Q26.1               | NULL                |       NULL |             3.00 |
| 0301764190 |     296 |   21199.20 | J41.0               | NULL                |       NULL |             3.00 |
| 0301764190 |     127 |   46502.10 | J12.0               | P39.3               |       3.40 |             3.00 |
| 0303586223 |       2 |  719122.80 | E07.1               | NULL                |       NULL |             3.80 |
| 0303586223 |     207 |    1945.00 | F71                 | E03                 |       3.80 |             3.80 |
| 0304405241 |     387 |   10110.40 | G52.1               | V39.4               |       3.40 |             3.40 |
| 0306607129 |     140 |     503.20 | D29.1               | NULL                |       NULL |             NULL |
| 0309876469 |     333 |    1440.00 | S43.3               | B38.0               |       4.60 |             3.47 |
| 0309876469 |     297 |   16581.60 | B58.8               | H47                 |       2.60 |             3.47 |
| 0309876469 |     107 |   24956.90 | A42.9               | M89.2               |       3.20 |             3.47 |
| 0310856580 |     130 |   14534.00 | K62                 | F66.8               |       2.80 |             3.30 |
| 0310856580 |     185 |  604391.90 | A01.4               | NULL                |       NULL |             3.30 |
| 0310856580 |     310 |   14817.20 | A69.2               | Y06.2               |       3.00 |             3.30 |
| 0310856580 |     320 |   26143.20 | Y91                 | I05.2               |       4.00 |             3.30 |
| 0310856580 |     302 |    5983.00 | Y41.1               | C76.3               |       3.40 |             3.30 |
| 0311759058 |     277 |    2513.00 | I74.4               | Y52.5               |       3.20 |             3.20 |
| 0402638738 |     241 |   53599.00 | Q60.5               | NULL                |       NULL |             NULL |
| 0402638738 |     146 |   35828.10 | L58.9               | NULL                |       NULL |             NULL |
| 0403010653 |     205 |    1545.60 | O08.6               | E05                 |       2.20 |             2.20 |
| 0403010653 |      14 |  252631.00 | Z37.6               | NULL                |       NULL |             2.20 |
| 0405655539 |     178 |  424153.40 | C97                 | NULL                |       NULL |             NULL |
| 0408934127 |     198 |    2852.70 | Q55.2               | NULL                |       NULL |             4.00 |
| 0408934127 |      84 |   24388.00 | K76.4               | Q68.2               |       4.00 |             4.00 |
| 0408934127 |     405 |   39369.60 | Z33                 | NULL                |       NULL |             4.00 |
| 0408957883 |     252 |    8362.20 | N91.2               | L92.8               |       4.20 |             3.30 |
| 0408957883 |     164 |     817.60 | B81.4               | T73                 |       2.40 |             3.30 |
| 0410098205 |     366 |    2378.50 | C25.9               | H11.8               |       2.80 |             2.80 |
| 0410098205 |     217 |  204409.60 | V85.9               | NULL                |       NULL |             2.80 |
| 0410098205 |     276 |  160769.70 | K57.0               | NULL                |       NULL |             2.80 |
| 0410122775 |     316 |    9815.00 | Y57.7               | A06.2               |       2.40 |             2.50 |
| 0410122775 |     331 |    4512.50 | H92.1               | V85.9               |       2.60 |             2.50 |
| 0410122775 |     359 |  195276.80 | P29                 | NULL                |       NULL |             2.50 |
| 0410122775 |     159 |  156458.80 | B96.2               | NULL                |       NULL |             2.50 |
| 0410534296 |     388 |  616612.70 | V52                 | NULL                |       NULL |             NULL |
| 0410534296 |     402 |  385607.20 | D33.7               | NULL                |       NULL |             NULL |
| 0411684189 |      21 |   63468.90 | F44.0               | A68.0               |       2.80 |             3.40 |
| 0411684189 |      62 |   10319.90 | S10.8               | Z51.8               |       4.00 |             3.40 |
| 0411697476 |      81 |   36573.00 | E59                 | NULL                |       NULL |             NULL |
| 0505923878 |     109 |   11739.60 | S42.7               | A41.1               |       2.20 |             2.20 |
| 0506925486 |      51 |  155220.00 | V85.9               | NULL                |       NULL |             NULL |
| 0506925486 |     197 |  402803.90 | V85.9               | NULL                |       NULL |             NULL |
| 0507969017 |     312 |   15584.80 | D86.9               | NULL                |       NULL |             3.20 |
| 0507969017 |     226 |  460485.40 | A01.4               | NULL                |       NULL |             3.20 |
| 0507969017 |      65 |   11925.10 | N29*                | Z27.1               |       3.20 |             3.20 |
| 0508110004 |     119 |  356946.40 | A01.4               | NULL                |       NULL |             3.40 |
| 0508110004 |     287 |    2175.80 | C94                 | H13.0*              |       3.40 |             3.40 |
| 0508110004 |      82 |    3149.60 | Q60.4               | NULL                |       NULL |             3.40 |
| 0508138775 |     391 |    2520.00 | O29.6               | O71.8               |       3.40 |             3.60 |
| 0508138775 |      85 |  359829.60 | P22                 | NULL                |       NULL |             3.60 |
| 0508138775 |     208 |   16692.00 | V33                 | NULL                |       NULL |             3.60 |
| 0508138775 |     253 |    5581.40 | E02                 | T19.9               |       3.80 |             3.60 |
| 0508809771 |     315 |   12632.00 | M31.6               | M48.1               |       2.60 |             2.60 |
| 0508809771 |     328 | 1480292.00 | N90.4               | NULL                |       NULL |             2.60 |
| 0509009630 |      24 |   26942.50 | Q14.2               | C48.1               |       3.40 |             3.40 |
| 0511404034 |     399 |  147088.50 | V85.9               | NULL                |       NULL |             3.20 |
| 0511404034 |     374 |    5790.80 | I42.7               | T69.8               |       3.20 |             3.20 |
| 0602656395 |     167 |  709458.20 | V85.9               | NULL                |       NULL |             4.20 |
| 0602656395 |     216 |    6122.60 | V85.9               | C50.6               |       4.20 |             4.20 |
| 0606902410 |     213 |  715160.80 | F63.3               | NULL                |       NULL |             2.80 |
| 0606902410 |     356 |     966.00 | C67.7               | H18                 |       2.60 |             2.80 |
| 0606902410 |     100 |    6097.00 | D61.8               | M96.2               |       3.00 |             2.80 |
| 0608982220 |     168 |    5805.00 | T67.9               | O41.1               |       3.60 |             3.60 |
| 0611657424 |     190 |   57388.50 | N94.2               | NULL                |       NULL |             NULL |
| 0612507333 |     218 |   21205.80 | M18.2               | H54.2               |       3.60 |             3.27 |
| 0612507333 |     149 |    6277.50 | S36.1               | A01.2               |       2.60 |             3.27 |
| 0612507333 |     424 |    5481.00 | A25.9               | S62.6               |       3.60 |             3.27 |
| 0612710796 |     256 |    1292.00 | M53.9               | C79                 |       3.40 |             3.13 |
| 0612710796 |      90 |    2464.40 | V29.8               | H50.4               |       3.00 |             3.13 |
| 0612710796 |      10 |    3964.40 | S41.1               | NULL                |       NULL |             3.13 |
| 0612710796 |       5 |  122427.00 | B65                 | NULL                |       NULL |             3.13 |
| 0612710796 |     189 |    7584.00 | V46                 | T45                 |       3.00 |             3.13 |
| 0703606074 |     184 |  164416.00 | N85.2               | NULL                |       NULL |             3.60 |
| 0703606074 |      80 |    6769.80 | O63.2               | S15.1               |       3.60 |             3.60 |
| 0706175666 |      45 |    5983.00 | H34                 | Q22.3               |       2.80 |             3.10 |
| 0706175666 |     225 |   11596.60 | M50.0               | D09.7               |       3.40 |             3.10 |
| 0706175666 |     163 |    8659.20 | H49.2               | Z57.2               |       3.60 |             3.10 |
| 0706175666 |     191 |   11094.20 | C22.3               | L12.1               |       2.60 |             3.10 |
| 0707490000 |      69 |   11620.50 | Z50.2               | NULL                |       NULL |             NULL |
| 0708432890 |     124 |  438191.00 | T88.0               | NULL                |       NULL |             NULL |
| 0801429924 |     243 |   13708.80 | T95.2               | O99.6               |       3.60 |             3.00 |
| 0801429924 |     352 |  330328.60 | P81.8               | NULL                |       NULL |             3.00 |
| 0801429924 |     329 |    9898.20 | R46.3               | B85.4               |       2.40 |             3.00 |
| 0803400939 |      12 |   49756.00 | D16.4               | NULL                |       NULL |             NULL |
| 0804711066 |     101 |  120323.50 | D55                 | NULL                |       NULL |             3.20 |
| 0804711066 |     413 |    9919.80 | V85.9               | Y52.9               |       3.60 |             3.20 |
| 0804711066 |     177 |    2340.90 | A69.2               | N81.5               |       2.80 |             3.20 |
| 0804995966 |      86 |  188044.00 | Y51.9               | NULL                |       NULL |             3.00 |
| 0804995966 |     397 |   24033.60 | A80.2               | Y35.4               |       2.20 |             3.00 |
| 0804995966 |     378 |    1261.00 | G44.4               | P03.4               |       3.80 |             3.00 |
| 0805018390 |     289 |  283030.40 | M10.0               | NULL                |       NULL |             3.40 |
| 0805018390 |     425 |  183615.40 | C67.1               | NULL                |       NULL |             3.40 |
| 0805018390 |     422 |   25897.40 | T35.0               | S30.2               |       3.40 |             3.40 |
| 0806836534 |     384 |  190456.00 | M18.4               | NULL                |       NULL |             3.20 |
| 0806836534 |     275 |   33881.90 | V85.9               | NULL                |       NULL |             3.20 |
| 0806836534 |     202 |   84577.40 | Z12.1               | I84.8               |       3.20 |             3.20 |
| 0807088775 |     301 |  229046.40 | N41.0               | NULL                |       NULL |             NULL |
| 0807577185 |     395 |  617259.50 | Z83.1               | NULL                |       NULL |             2.80 |
| 0807577185 |     362 |    2833.60 | H26                 | D00.0               |       2.80 |             2.80 |
| 0807908917 |     288 |   40108.30 | P15.8               | B22.0               |       2.00 |             2.50 |
| 0807908917 |      43 |   59610.60 | S42.2               | N34.1               |       3.00 |             2.50 |
| 0807908917 |     222 | 1097938.80 | O90.5               | NULL                |       NULL |             2.50 |
| 0809716083 |     273 |    1304.00 | M00.1               | A50                 |       2.80 |             2.40 |
| 0809716083 |     342 |     992.20 | N16.2*              | K61.3               |       2.00 |             2.40 |
| 0809716083 |     221 |   16359.20 | B20.3               | NULL                |       NULL |             2.40 |
| 0811107890 |     298 |     680.00 | O64.1               | E56.8               |       3.20 |             3.20 |
| 0812934505 |     357 |     896.00 | Q37.4               | NULL                |       NULL |             NULL |
| 0901891486 |     292 | 4943470.50 | L66.0               | NULL                |       NULL |             3.07 |
| 0901891486 |     111 |    2423.00 | R10.0               | A48.1               |       3.20 |             3.07 |
| 0901891486 |      92 |   42066.90 | P58.2               | K42.1               |       3.60 |             3.07 |
| 0901891486 |     376 |   18023.40 | B65.1               | I62.9               |       2.40 |             3.07 |
| 0906756800 |      88 |     648.00 | D15.9               | P52.4               |       3.40 |             3.40 |
| 0906756800 |     231 |  987896.40 | K21.9               | NULL                |       NULL |             3.40 |
| 0908019573 |     160 |   12862.80 | K76.5               | P92                 |       3.20 |             3.20 |
| 0908019573 |     166 |   44107.70 | A52                 | Q26.1               |       3.20 |             3.20 |
| 0909910513 |     114 |    1205.90 | P92.1               | G57.4               |       3.00 |             3.00 |
| 0909910513 |      71 |  326356.00 | A01.4               | NULL                |       NULL |             3.00 |
| 0912011289 |     260 |   41880.00 | T78.2               | R06.8               |       3.40 |             3.40 |
| 0912011289 |     103 |   14940.80 | T61.2               | NULL                |       NULL |             3.40 |
| 1001725712 |     193 |    7004.00 | Z54.1               | D01.5               |       2.80 |             2.80 |
| 1001725712 |      89 |   85857.50 | Q72.9               | NULL                |       NULL |             2.80 |
| 1001725712 |     267 |  349271.20 | T75                 | NULL                |       NULL |             2.80 |
| 1004673616 |     417 |   41866.20 | N64.5               | R87                 |       3.00 |             3.00 |
| 1005466467 |     188 |  219612.80 | S72.1               | NULL                |       NULL |             3.00 |
| 1005466467 |     174 |  369114.20 | I31                 | NULL                |       NULL |             3.00 |
| 1005466467 |      91 |    1307.60 | A01.4               | O75.8               |       3.00 |             3.00 |
| 1005957696 |     200 |    2725.00 | J20.7               | Z58.6               |       2.80 |             2.80 |
| 1005957696 |      39 |  329503.20 | C71.6               | NULL                |       NULL |             2.80 |
| 1007081892 |     179 |    7933.10 | M79.8               | L10.3               |       4.00 |             4.00 |
| 1007081892 |     353 |  366876.00 | N73.4               | NULL                |       NULL |             4.00 |
| 1010846374 |     345 |   28350.90 | N76                 | NULL                |       NULL |             2.80 |
| 1010846374 |     219 |   14008.70 | A01.4               | Q01.1               |       2.80 |             2.80 |
| 1010887303 |      67 |   35452.40 | H50.0               | NULL                |       NULL |             NULL |
| 1012030665 |      49 |    1563.50 | P55.9               | C34.8               |       3.00 |             3.00 |
| 1101175953 |     334 |    9254.30 | Y87                 | Z55.9               |       2.60 |             2.60 |
| 1101175953 |     410 |  551133.00 | O83.1               | NULL                |       NULL |             2.60 |
| 1101175953 |      30 |  168636.00 | G07*                | NULL                |       NULL |             2.60 |
| 1103167725 |       6 |   75265.90 | L67.9               | NULL                |       NULL |             NULL |
| 1104858825 |      61 |   21845.00 | V85.9               | A00.9               |       2.80 |             2.80 |
| 1105115810 |      33 |    4523.40 | M20.2               | Y83.2               |       3.00 |             3.00 |
| 1107145674 |     330 |   14867.20 | U89                 | F94.0               |       1.80 |             1.80 |
| 1107414761 |     282 |   76141.20 | H50.4               | NULL                |       NULL |             NULL |
| 1107503349 |     401 |    6709.50 | Y35.5               | A92                 |       3.40 |             3.40 |
| 1109073635 |     161 |   58855.20 | P35.2               | NULL                |       NULL |             NULL |
| 1110211874 |      73 |    7720.00 | A28.0               | G70.9               |       2.80 |             2.30 |
| 1110211874 |     341 |   10949.70 | B27.1               | V87.2               |       1.80 |             2.30 |
| 1110211874 |     326 |     366.00 | T54.1               | NULL                |       NULL |             2.30 |
| 1110492903 |     147 |  198710.00 | K60                 | NULL                |       NULL |             3.40 |
| 1110492903 |     156 |    2908.20 | S92                 | T51.8               |       3.20 |             3.40 |
| 1110492903 |     172 |    1790.10 | Z56.2               | Z83.1               |       3.60 |             3.40 |
| 1201124231 |     128 |   15984.80 | V27                 | NULL                |       NULL |             NULL |
| 1201203449 |     148 |  100470.50 | D59.9               | NULL                |       NULL |             NULL |
| 1201423542 |     361 |    2654.00 | M06.9               | NULL                |       NULL |             3.60 |
| 1201423542 |     373 |   10152.80 | H95.9               | F50.1               |       3.60 |             3.60 |
| 1201899309 |     305 |     630.00 | Q23.2               | NULL                |       NULL |             NULL |
| 1201899309 |     180 |  374579.70 | B85.2               | NULL                |       NULL |             NULL |
| 1201899309 |     233 |  693102.50 | Q67.7               | NULL                |       NULL |             NULL |
| 1204541306 |      96 | 1884531.60 | C38                 | NULL                |       NULL |             NULL |
| 1205658455 |     112 |    8798.40 | F69                 | A31.0               |       3.40 |             3.47 |
| 1205658455 |     407 |    6997.70 | O32.3               | B65.1               |       2.40 |             3.47 |
| 1205658455 |     255 |    3040.00 | N28.9               | C85.0               |       4.60 |             3.47 |
| 1206685808 |     139 |   13137.60 | R78.8               | F05.9               |       2.60 |             2.80 |
| 1206685808 |     408 |  280082.80 | A39.3               | NULL                |       NULL |             2.80 |
| 1206685808 |     271 |   15471.50 | S86.0               | A01.4               |       3.00 |             2.80 |
| 1207640771 |     415 |  331768.00 | Q40.0               | NULL                |       NULL |             3.20 |
| 1207640771 |     134 |  391477.80 | T26.3               | NULL                |       NULL |             3.20 |
| 1207640771 |     232 |    6997.70 | E70                 | Z71.2               |       3.20 |             3.20 |
| 1210498196 |     318 |  109692.80 | B21.8               | M30.8               |       3.00 |             3.13 |
| 1210498196 |      93 |    1251.20 | P12.2               | Z58.6               |       3.00 |             3.13 |
| 1210498196 |     351 |    3651.50 | H83.3               | C79.2               |       3.40 |             3.13 |
| 1210498196 |      37 |  408304.00 | M31.7               | NULL                |       NULL |             3.13 |
| 1302004516 |     215 |   12688.20 | D01.1               | Z76.4               |       1.80 |             1.80 |
| 1302004516 |     261 |   69494.40 | I70.1               | NULL                |       NULL |             1.80 |
| 1305493476 |     363 |    2261.60 | G06.2               | T65.3               |       3.20 |             3.20 |
| 1305493476 |     192 |     791.00 | I08.3               | NULL                |       NULL |             3.20 |
| 1305648588 |     158 |  117011.50 | A17.0+              | NULL                |       NULL |             NULL |
| 1306239942 |     263 |  290591.20 | O62                 | NULL                |       NULL |             NULL |
| 1309053380 |     382 |    2648.70 | T02.3               | P24.9               |       2.60 |             2.60 |
| 1309053380 |     300 |   22148.20 | S44.0               | NULL                |       NULL |             2.60 |
| 1401539823 |     143 |    4700.00 | O63.2               | F51.1               |       2.60 |             2.40 |
| 1401539823 |      77 |   10956.40 | M54.1               | A95.1               |       2.20 |             2.40 |
| 1406635146 |     421 |    1856.00 | D15.2               | Z95.1               |       3.60 |             3.60 |
| 1406635146 |      56 |   13365.00 | J92.0               | NULL                |       NULL |             3.60 |
| 1406635146 |     311 |   24851.40 | Z50.7               | NULL                |       NULL |             3.60 |
| 1407949726 |      72 |   49791.20 | O36.3               | NULL                |       NULL |             3.00 |
| 1407949726 |      48 |    5906.40 | I34                 | Q71.3               |       3.00 |             3.00 |
| 1410754950 |     194 |    1503.60 | S09.9               | F62.9               |       3.00 |             2.60 |
| 1410754950 |     258 |    6049.40 | Q35.5               | Q11.2               |       2.60 |             2.60 |
| 1410754950 |     250 |   13756.80 | M01.1*              | Z38.6               |       2.20 |             2.60 |
| 1410754950 |      78 |  157307.80 | K82.0               | NULL                |       NULL |             2.60 |
| 1411801003 |      57 |    1986.60 | R50.8               | M92.2               |       3.60 |             3.60 |
| 1411801003 |     227 |  686677.50 | I01.9               | NULL                |       NULL |             3.60 |
| 1502720536 |     393 |   36362.40 | E83.3               | NULL                |       NULL |             2.80 |
| 1502720536 |     308 |  391436.40 | Q95.0               | NULL                |       NULL |             2.80 |
| 1502720536 |     423 |   14208.60 | K11.3               | K04.4               |       2.80 |             2.80 |
| 1503088847 |     110 |  170788.20 | L44.8               | NULL                |       NULL |             NULL |
| 1503088847 |      20 |   41893.80 | Y54.3               | NULL                |       NULL |             NULL |
| 1503088847 |       1 |   24077.90 | C00.5               | NULL                |       NULL |             NULL |
| 1503088847 |     223 |  348304.50 | M80.3               | NULL                |       NULL |             NULL |
| 1503088847 |     236 |  164125.50 | O81.3               | NULL                |       NULL |             NULL |
| 1503952504 |     244 |  120267.00 | H10.3               | NULL                |       NULL |             NULL |
| 1503952504 |      68 |   34487.40 | N16.8*              | NULL                |       NULL |             NULL |
| 1504026108 |     214 |    1930.00 | H51.1               | Y83.5               |       4.20 |             4.20 |
| 1504026108 |       4 |    1588.00 | R52.2               | NULL                |       NULL |             4.20 |
| 1507163534 |     106 |    3819.00 | A48.4               | S71.0               |       3.40 |             3.40 |
| 1507163534 |      98 |  133311.00 | V85.9               | NULL                |       NULL |             3.40 |
| 1507163534 |     120 |  200256.00 | P14.0               | NULL                |       NULL |             3.40 |
| 1508889711 |     379 |   19136.00 | C93.2               | Q52.7               |       2.40 |             2.60 |
| 1508889711 |     367 |    6384.00 | V68                 | Z12.9               |       2.40 |             2.60 |
| 1508889711 |     132 |    1810.10 | H00.1               | W70                 |       3.00 |             2.60 |
| 1510915859 |     338 |    7225.00 | J96                 | M30.3               |       4.20 |             3.80 |
| 1510915859 |     104 |    2043.30 | T66                 | Q27.4               |       4.00 |             3.80 |
| 1510915859 |     129 |  344864.10 | Z09.1               | NULL                |       NULL |             3.80 |
| 1510915859 |     234 |   11515.00 | Q39                 | T51.9               |       3.20 |             3.80 |
| 1511946084 |     360 |    2085.00 | D39.0               | NULL                |       NULL |             NULL |
| 1512821769 |     347 |    5921.00 | K56.3               | T29.0               |       3.60 |             3.60 |
| 1512821769 |      55 |    7522.20 | O24.0               | O30.2               |       3.60 |             3.60 |
| 1512911517 |     350 |  612186.40 | G73.7*              | NULL                |       NULL |             NULL |
| 1512911517 |     195 |  423570.30 | A01.4               | NULL                |       NULL |             NULL |
| 1512911517 |     394 | 1171486.80 | A66.2               | NULL                |       NULL |             NULL |
| 1601681222 |     383 |  106797.60 | M65.8               | NULL                |       NULL |             NULL |
| 1601681222 |     336 |   16142.40 | A44                 | NULL                |       NULL |             NULL |
| 1604899644 |     142 |  118649.50 | A37.8               | NULL                |       NULL |             NULL |
| 1605099282 |     209 |   10382.40 | A01.4               | Z89.2               |       3.60 |             2.87 |
| 1605099282 |     115 |  325078.60 | S46.2               | NULL                |       NULL |             2.87 |
| 1605099282 |     201 |   17889.30 | S81.0               | J92.0               |       2.20 |             2.87 |
| 1605099282 |     314 |   15346.00 | E32.9               | NULL                |       NULL |             2.87 |
| 1605099282 |     368 |   18154.60 | V85.9               | T56.8               |       2.80 |             2.87 |
| 1608879231 |      52 |  283185.00 | Z95.1               | NULL                |       NULL |             4.20 |
| 1608879231 |     317 |  263166.00 | E20.8               | NULL                |       NULL |             4.20 |
| 1608879231 |     125 |   11882.60 | N15.8               | M62.8               |       4.20 |             4.20 |
| 1611665479 |      76 |    6048.00 | Z56.5               | Y47.3               |       3.00 |             3.10 |
| 1611665479 |      25 |    2036.60 | S46.2               | A28                 |       3.20 |             3.10 |
| 1612079139 |     354 |   16816.80 | K31.8               | NULL                |       NULL |             3.60 |
| 1612079139 |     404 |    1277.90 | Q87                 | S48                 |       3.20 |             3.60 |
| 1612079139 |     389 |   96901.00 | Q95.1               | NULL                |       NULL |             3.60 |
| 1612079139 |     199 |   11330.40 | Z20.8               | O69.0               |       4.00 |             3.60 |
| 1612486655 |     322 |   12122.00 | C53.1               | Q61.0               |       3.00 |             3.00 |
| 1701890522 |     157 |   11611.20 | L27.9               | L93.1               |       4.00 |             4.00 |
| 1702033049 |     133 |  563405.50 | S10.1               | NULL                |       NULL |             NULL |
| 1702118773 |      79 |  382206.10 | I09.1               | NULL                |       NULL |             2.40 |
| 1702118773 |     152 |    3430.00 | H83.0               | L91                 |       2.40 |             2.40 |
| 1702118773 |     183 |  806064.10 | E64.8               | NULL                |       NULL |             2.40 |
| 1702834515 |     171 |  165648.00 | K60.1               | NULL                |       NULL |             NULL |
| 1705780126 |     346 |    4646.00 | N31.2               | NULL                |       NULL |             NULL |
| 1705780126 |      63 |  195260.80 | M46.5               | NULL                |       NULL |             NULL |
| 1706980758 |      40 |  270958.20 | S55.2               | NULL                |       NULL |             NULL |
| 1711525638 |     270 |    6458.40 | Q60.1               | T70.2               |       2.40 |             2.60 |
| 1711525638 |      75 |   47140.80 | V09.0               | NULL                |       NULL |             2.60 |
| 1711525638 |      29 |    3541.50 | F00.9*              | T73.8               |       2.80 |             2.60 |
| 1712481818 |      58 |  987670.40 | V84.6               | NULL                |       NULL |             3.60 |
| 1712481818 |     299 |   59152.80 | Q16.0               | C76.5               |       3.60 |             3.60 |
| 1801061017 |      27 |   18399.20 | K60.3               | NULL                |       NULL |             NULL |
| 1803844896 |     113 |  172302.00 | L65.2               | I13.2               |       2.80 |             2.80 |
| 1803844896 |     364 |   95001.50 | D63*                | NULL                |       NULL |             2.80 |
| 1805939113 |       3 |   10136.10 | Q32                 | Q65                 |       2.80 |             2.80 |
| 1806207494 |      83 |   35059.50 | D13.3               | A71                 |       2.60 |             2.60 |
| 1806207494 |     170 |  201785.60 | S67.0               | NULL                |       NULL |             2.60 |
| 1809510884 |     206 |  331369.50 | H32.8*              | NULL                |       NULL |             3.20 |
| 1809510884 |      18 |   68411.20 | K91                 | NULL                |       NULL |             3.20 |
| 1809510884 |     165 |   19801.60 | S80.7               | O71.7               |       3.20 |             3.20 |
| 1809524741 |      17 |   20505.90 | V85.9               | Y61.5               |       3.00 |             2.90 |
| 1809524741 |     162 |    6704.80 | C88.7               | C18.6               |       2.80 |             2.90 |
| 1811456178 |     313 |  477423.60 | K14.0               | NULL                |       NULL |             2.80 |
| 1811456178 |     321 |    8576.60 | Z42.3               | O90.9               |       2.80 |             2.80 |
| 1906158825 |      31 |    4193.40 | S46.9               | D28                 |       3.00 |             3.00 |
| 1912000651 |     268 |   10791.00 | M43.1               | NULL                |       NULL |             3.30 |
| 1912000651 |     323 |    6036.00 | B37.8               | L74.2               |       3.80 |             3.30 |
| 1912000651 |      15 |  890813.40 | D73.2               | NULL                |       NULL |             3.30 |
| 1912000651 |     240 |   61815.60 | M67                 | K55.1               |       2.80 |             3.30 |
| 2001068819 |     196 |  668104.00 | D19                 | NULL                |       NULL |             2.50 |
| 2001068819 |     390 |   25088.00 | C76.8               | F62.1               |       2.60 |             2.50 |
| 2001068819 |     150 |    9450.00 | G22*                | R61                 |       2.40 |             2.50 |
| 2001683963 |     285 |  137195.10 | B52                 | NULL                |       NULL |             3.60 |
| 2001683963 |     269 |   25051.60 | S54.1               | NULL                |       NULL |             3.60 |
| 2001683963 |     237 |   77162.80 | I86                 | NULL                |       NULL |             3.60 |
| 2001683963 |     279 |   22077.00 | C41.4               | S88.1               |       3.60 |             3.60 |
| 2001683963 |     386 |   46196.40 | Q40.1               | NULL                |       NULL |             3.60 |
| 2007687525 |     332 |   14475.00 | G43.1               | L51.2               |       3.40 |             3.40 |
| 2009059125 |     235 |    6474.60 | N32.4               | Z60.9               |       2.40 |             2.60 |
| 2009059125 |     306 |   10903.20 | A36.0               | Q83.0               |       2.80 |             2.60 |
| 2101976144 |     203 |   19789.00 | T42.2               | T84.6               |       2.60 |             2.47 |
| 2101976144 |     344 |  349421.40 | S99.9               | NULL                |       NULL |             2.47 |
| 2101976144 |     122 |    9834.40 | H47.4               | M91.0               |       2.20 |             2.47 |
| 2101976144 |     409 |   25443.10 | M15.0               | M70.5               |       2.60 |             2.47 |
| 2104498876 |     257 |  192956.40 | A01.4               | NULL                |       NULL |             NULL |
| 2108776083 |     416 |  283110.90 | K91.4               | NULL                |       NULL |             NULL |
| 2202008123 |     339 |  472626.90 | P59.8               | NULL                |       NULL |             3.20 |
| 2202008123 |     259 |    5359.20 | G62.1               | S07.9               |       3.20 |             3.20 |
| 2202008123 |     375 |  304573.50 | M70.5               | NULL                |       NULL |             3.20 |
| 2202008123 |     138 |  116575.50 | Q71.5               | NULL                |       NULL |             3.20 |
| 2207536115 |     293 |  276928.50 | A01.4               | NULL                |       NULL |             NULL |
| 2207890515 |     392 |   26601.60 | Z44.1               | R09                 |       3.40 |             3.40 |
